"TICKET","SYMBOL","ACTION","LOTS","OPEN TIME","CLOSE TIME","PROFIT","COMM","SWAP","COMMENT","T/P","S/L","OPEN PRICE","CLOSE PRICE","","",""
"767822374","XAUUSDr","Buy","0.1","2025-10-08 12:34:39","2025-10-08 12:49:13","97.7","0.0","0.0","","4050.0","4035.29","4033.79","4043.56","97.7","0","0"
"767822425","XAUUSDr","Buy","0.1","2025-10-08 12:35:30","2025-10-08 12:46:25","70.3","0.0","0.0","","4050.0","4030.49","4034.97","4042.0","70.3","0","0"
"767822134","XAUUSDr","Sell","0.1","2025-10-08 12:33:58","2025-10-08 12:34:28","-18.4","0.0","0.0","[sl]","0.0","4033.1","4031.26","4033.1","-18.4","0","0"
"767822080","XAUUSDr","Buy","0.1","2025-10-08 12:33:16","2025-10-08 12:33:38","-18.9","0.0","0.0","[sl]","0.0","4031.68","4033.57","4031.68","-18.9","0","0"
"767821944","XAUUSDr","Buy","0.1","2025-10-08 12:30:59","2025-10-08 12:33:34","-29.0","0.0","0.0","[sl]","0.0","4032.27","4034.98","4032.08","-29.0","0","0"
"767814430","XAUUSDr","Buy","0.1","2025-10-08 10:20:28","2025-10-08 12:33:34","-5.8","0.0","0.0","[sl]","4050.1","4032.03","4032.6","4032.02","-5.8","0","0"
"767813354","XAUUSDr","Buy","0.1","2025-10-08 10:10:14","2025-10-08 10:27:49","-3.9","0.0","0.0","","0.0","4029.39","4038.04","4037.65","-3.9","0","0"
"767812249","XAUUSDr","Sell","0.03","2025-10-08 09:39:30","2025-10-08 10:10:15","-25.17","0.0","0.0","[sl]","0.0","4038.32","4030.57","4038.96","-25.17","0","0"
"767810387","XAUUSDr","Sell","0.03","2025-10-08 09:09:46","2025-10-08 10:10:15","-18.42","0.0","0.0","[sl]","0.0","4038.07","4032.82","4038.96","-18.42","0","0"
"767804636","XAUUSDr","Sell","0.03","2025-10-08 09:02:11","2025-10-08 10:10:14","-29.91","0.0","0.0","[sl]","0.0","4037.53","4028.07","4038.04","-29.91","0","0"
"767804444","XAUUSDr","Sell","0.02","2025-10-08 07:54:07","2025-10-08 08:00:44","0.2","0.0","0.0","","0.0","4032.01","4025.7","4025.6","0.2","0","0"
"767804188","XAUUSDr","Sell","0.02","2025-10-08 07:51:43","2025-10-08 07:52:04","-2.54","0.0","0.0","","0.0","0.0","4022.57","4023.84","-2.54","0","0"
"767803930","XAUUSDr","Sell","0.02","2025-10-08 07:49:11","2025-10-08 07:50:13","-1.68","0.0","0.0","[sl]","0.0","4022.63","4021.83","4022.67","-1.68","0","0"
"767803889","XAUUSDr","Sell","0.02","2025-10-08 07:48:17","2025-10-08 07:50:13","-2.34","0.0","0.0","[sl]","0.0","4022.63","4021.5","4022.67","-2.34","0","0"
"767803690","XAUUSDr","Sell","0.02","2025-10-08 07:48:00","2025-10-08 07:50:13","-2.16","0.0","0.0","[sl]","0.0","4022.63","4021.59","4022.67","-2.16","0","0"
"767803053","XAUUSDr","Sell","0.02","2025-10-08 07:32:39","2025-10-08 07:50:13","-6.78","0.0","0.0","[sl]","0.0","4022.63","4019.28","4022.67","-6.78","0","0"
"767803052","XAUUSDr","Sell","0.02","2025-10-08 07:32:33","2025-10-08 07:50:13","-6.52","0.0","0.0","[sl]","0.0","4022.63","4019.41","4022.67","-6.52","0","0"
"767802984","XAUUSDr","Sell","0.02","2025-10-08 07:30:02","2025-10-08 07:50:13","-8.42","0.0","0.0","[sl]","0.0","4022.63","4018.46","4022.67","-8.42","0","0"
